Customer_Segment,Customer_Count,Avg_Recency,Avg_Frequency,Total_Monetary,Avg_Monetary,Revenue_Share_%,Customer_Share_%
Champions,837,8.560334528076464,19.33930704898447,9124245.705,10901.12987455197,51.42323737687139,14.239537257570603
Loyal Customers,1161,67.06890611541775,9.838070628768303,4889945.265,4211.839160206718,27.55918946639143,19.75161619598503
At Risk,753,372.67197875166005,3.904382470119522,1040722.38,1382.1014342629483,5.86539597030312,12.810479755018713
Potential Loyalists,714,25.756302521008404,2.5910364145658265,825180.331,1155.7147492997199,4.650624874830496,12.146988771691051
Hibernating / Lost,1523,459.2810242941563,1.2527905449770191,667121.922,438.0314655285621,3.7598252023749814,25.910173528411022
Cannot Lose Them,71,331.22535211267603,15.929577464788732,593253.112,8355.677633802816,3.3435087775229597,1.2078938414426676
Need Attention,266,113.35714285714286,3.154135338345865,341453.06,1283.6581203007518,1.9243915963176168,4.5253487580809795
About to Sleep,385,107.1064935064935,1.361038961038961,205616.843,534.069722077922,1.1588337346590445,6.549846886696155
Promising,114,38.833333333333336,1.0,36414.520000000004,319.42561403508773,0.20522819819491378,1.9394351820347058
New Customers,54,10.5,1.0,19476.04,360.66740740740744,0.10976480253404601,0.918679823069071
